question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
154,21168,What are the primary benefits of using hash tables compared to traditional arrays for searching? ,NA,Easy,Multi correct,Faster lookups based on key values ,More efficient memory usage for sparse data ,Ability to handle dynamic data sets easily ,Improved sorting performance,"1,2"
155,21168,"Which types of collisions can occur in a hash table, and how are they commonly resolved?",NA,Medium,Multi correct,"Hash function collisions: Two different keys map to the same bucket, addressed by chaining (linked lists) or open addressing (probing).","Bucket overflow: More keys map to a bucket than its capacity, addressed by increasing table size or implementing rehashing techniques. ","Hash function weaknesses: Poorly designed functions lead to frequent collisions, addressed by choosing appropriate algorithms like modulo or multiplication methods. ","Data corruption collisions: Errors in data storage or retrieval lead to incorrect key value mappings, addressed by employing error detection and correction mechanisms.","1,2,3"
156,21168,"When choosing a hash function, what are some crucial qualities to consider?",NA,Easy,Multi correct,Deterministic behavior: Consistent mapping of the same key to the same bucket for efficient retrieval.,Uniform distribution: Mapping keys to buckets spread evenly to avoid hotspots and collisions.,Computability efficiency: Simple and fast calculation to minimize overhead during insertion and search operations.,Collision resistance: Minimizing the likelihood of two different keys mapping to the same bucket.,"1,2,4"
157,21168,Hashing plays a significant role in various technologies and algorithms. Which of the following are accurate examples of its applications?,NA,Easy,Multi correct,Database lookup tables: Enabling efficient searches for records based on unique identifiers like usernames or IDs.,Network routing algorithms: Mapping IP addresses to physical network locations for faster packet routing.,"Caching mechanisms: Storing frequently accessed data in memory for quicker retrieval, using key-based access like in web browsers.",Set data structures: Implementing membership testing and element lookup in sets in constant time using hashing techniques.,"1,2,3,4"
158,21168,What are the key benefits of using a hash table?,NA,Easy,Multi correct,Efficiently search for key-value pairs,Faster insertion and deletion operations compared to linked lists,Guaranteed constant time complexity for all operations (independent of data size),Less memory-intensive compared to arrays,"1,2,4"
159,21168,What are potential drawbacks of using a hash table?,NA,Easy,Multi correct,"High vulnerability to collisions, impacting performance",Requires choosing a good hash function to minimize collisions,Difficult to maintain order of elements inserted, Not suitable for storing large amounts of data,"1,2"
160,21168,Which of the following are characteristics of Merge Sort? (Choose all that apply),NA,Medium,Single correct,In-place sorting algorithm,Stable sorting algorithm,Recursive divide-and-conquer algorithm,\( O(n) \) worst-case time complexity,3
161,21168,Which of the following data structures are used by Merge Sort for storing temporary data? (Choose all that apply),NA,Medium,Multi correct,Stack,Linked List,Queue,Array,"1,4"
162,21168,Are there any situations where Merge Sort might not be the best choice for sorting?,NA,Medium,Multi correct,When memory is limited,When dealing with large arrays stored on disk,When sorting linked lists,All of the above,"1,2,4"
163,21168,Which characteristics describe Merge Sort? (Select all that apply),NA,Medium,Multi correct,Divide-and-conquer algorithm,Stable sorting algorithm,In-place sorting algorithm,Best-case time complexity of \( O(n) \),"1,2,4"
164,21168,Quick sort is a: (Choose all that apply),NA,Medium,Multi correct,Divide-and-conquer algorithm,In-place sorting algorithm,Stable sorting algorithm,Selection sort algorithm,"1,2"
165,21168,What is the average time complexity of Quick sort?,NA,Medium,Single correct,\( O(n) \),\( O(n \log n) \),\( O(n^2) \),\( O(\log n) \),2
166,21168,Which element is chosen as the pivot in most quick sort implementations?,NA,Medium,Multi correct,First element,Last element,Median element,Random element ,"1,2"
167,21168,Quick sort is generally not recommended for sorting: (Choose all that apply),NA,Medium,Multi correct,Small arrays,Linked lists,Arrays with many duplicate elements,Queue,"1,2"
168,21168,What are some key characteristics of Quick Sort? (Select all that apply),NA,Medium,Multi correct,Divide-and-conquer algorithm - It recursively partitions the array into smaller sub-arrays and sorts them individually.,"In-place sorting - It sorts the data within the original array, minimizing additional memory requirements.",Stable sorting - It preserves the relative order of equal elements within the sorted array.,"Guaranteed \( O(n \log n) \) time complexity - Regardless of the data distribution, its average time complexity is \( O(n \log n) \).","1,2,3"
169,21168, What are some potential drawbacks of Quick Sort? (Select all that apply),NA,Medium,Multi correct,"Worst-case performance of \( O(n^2) \) - When the chosen pivot element leads to skewed partitions, the time complexity can deteriorate to \( O(n^2) \).","Sensitivity to the chosen pivot element - The performance heavily depends on the selection of the pivot element, with poor choices impacting efficiency.",High tail recursion - Extensive use of recursion can lead to increased stack memory usage and potential stack overflow for very large datasets.,Unsuitable for linked lists - Its in-place approach makes it less efficient for manipulating data structures like linked lists compared to merge sort.,"1,2,3,4"
170,21168,How can the performance of Quick Sort be improved? (Select all that apply),NA,Medium,Multi correct,Randomized pivot selection - Choosing the pivot element randomly reduces the chances of encountering the worst-case scenario.,"Hybrid approach with other sorting algorithms - For smaller sub-arrays, switching to a different sorting algorithm like insertion sort can be more efficient.",Tail recursion optimization - Implementing tail call optimization techniques can reduce stack usage and potential overflows.,Parallelization - The divide-and-conquer nature of Quick Sort makes it suitable for parallelization on multi-core systems.,"2,3,4"
171,21168,Which properties describe a simple graph?,NA,Easy,Multi correct,Directed edges,No loops,No parallel edges,Any number of vertices,"1,4"
172,21168,What are the possible degrees of a vertex in a connected graph?,NA,Easy,Multi correct,Any positive integer,Odd or even degree only,Exactly 2 neighbors,At least 1 neighbor,"2,3,4"
173,21168,Which statements are true about a bipartite graph?,NA,Medium,Multi correct,Every vertex has even degree.,All edges connect vertices from different sets.,Cannot have cycles of odd length.,Can be colored with two colors.,"2,3,4"
174,21168,What are some applications of graph theory?,NA,Easy,Multi correct,Social network analysis,Scheduling and resource allocation,Modeling transportation networks,Circuit design and optimization,"1,2,3,4"
175,21168,Which properties are unique to a directed graph compared to an undirected graph?,NA,Easy,Multi correct,Edges with direction (arrows),Cycles (closed paths),Degree of a vertex (number of edges connected),Number of connected components (subgraphs with paths between vertices),"1,2"
176,21168,A complete graph with \( n \) vertices has how many edges?,NA,Easy,Multi correct,\( n + n \),\( n \),\( n(n - 1) \),\( \frac{n(n-1)}{2} \),"1,3"
177,21168,Which algorithms are commonly used for traversing and visiting all vertices in a connected graph?,NA,Easy,Multi correct,Depth-First Search (DFS) ,Breadth-First Search (BFS) ,Dijkstra's Algorithm (shortest path) ,Prim's Algorithm (minimum spanning tree) ,"1,2"
178,21168,What are some applications of graph theory in real-world scenarios? ,NA,Easy,Multi correct,Modeling social networks and relationships ,Route optimization and map navigation ,Scheduling tasks and managing dependencies ,Representing chemical compound structures and molecular interactions ,"1,2,3,4"
179,21168, Which statements are true about Eulerian circuits and Hamiltonian circuits? ,NA,Easy,Multi correct,An Eulerian circuit visits every edge exactly,A Hamiltonian circuit visits every vertex exactly once.,Every graph has an Eulerian circuit.,Every graph has a Hamiltonian circuit.,"1,2"
