question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
98,21038,"Two numbers are selected at random (without replacement) from positive integers 2, 3, 4, 5, 6 and 7. Let X denote the larger of the two numbers obtained. Find the mean the probability distribution of X",NA,Medium,Single correct,14-Mar,17-Mar,22/15,23/15,2
99,21038,"Two numbers are selected at random (without replacement) from positive integers 2, 3, 4, 5, 6 and 7. Let X denote the larger of the two numbers obtained. Find the variance the probability distribution of X",NA,Easy,Single correct,14-Sep,Apr-15,Aug-15,101/3,1
100,21038,"From a lot of 15 bulbs which include 5 defectives, a sample of 2 bulbs is drawn at random (without replacement). Find the probability that there are 2 defective bulbs",NA,Medium,Single correct,Feb-21,Oct-21,Sep-21,Jul-21,1
101,21038,"Three cards are drawn at random (without replacement) from a well-shuffled pack of 52 playing cards. fFrom the probability distribution of number of red cards. Hence, find the mean of the distribution. ",NA,Easy,Single correct,1.5,2.5,1.7,1.9,1
102,21038,"A class has 15 students whose ages are 14, 17, 15, 14, 21, 17, 19, 20, 16, 18, 20, 17, 16, 19 and 20 years. One student is selected in such a manner that each has the same chance of being chosen and the age X of the selected student is recorded. What is the probability distribution of the random variable XI Find the mean of X. ",NA,Medium,Single correct,51/15,263/15,242/15,212/15,2
103,21038,"A bag contains 3 red and 7 black balls. Two balls are selected at random one by one without replacement. If the second selected ball happens to be red, what is the probability that the first selected ball is also red? ",NA,Easy,Single correct,02-Sep,01-Sep,07-Oct,03-Oct,1
104,21001,"A manufacturer has three machine operators \(A\), \(B\), and \(C\). The first operator \(A\) produces 1\% of defective items, 
whereas the other two operators \(B\) and \(C\) produce 5\% and 7\% defective items respectively. 
\(A\) is on the job for 50\% of the time, \(B\) on the job 30\% of the time and \(C\) on the job for 20\% of the time. 
All the items are put into one stockpile and then one item is chosen at random from this and is found to be defective.
 What is the probability that it was produced by \(A\)? 

",NA,Medium,Single correct,\(\frac{5}{34}\),"\(\frac{3}{34}\)


","(\frac{7}{34}\)
",(\frac{1}{34}\),1
105,21001,"Two cards are drawn simultaneously (or 
successively without replacement) from a well-shuffled 
pack of 52 cards. Find the mean and variance of the number of kings.
",NA,Medium,Single correct,\(\frac{3400}{221^2}\),\(\frac{8500}{221^2}\),\(\frac{6800}{221^2}\),\(\frac{1700}{221^2}\),3
106,21001,"Three numbers are selected at random (without replacement) 
from the first six positive integers. Let \(X\) denote the largest of the three numbers
 obtained.Find the probability distribution of \(X\). Also, find the mean 
and variance of the distribution.",NA,Hard,Single correct,\(\frac{63}{80}\),\(\frac{70}{81}\),\(\frac{61}{80}\),\(\frac{65}{81}\),1
107,21001,"Bag A contains 3 red and 5 black balls, while bag B contains 4 red and 4
 black balls. Two balls are transferred at random from bag A to bag B and 
then a ball is drawn from bag B at random. If the ball drawn from bag B is 
found to be red, find the probability that two red balls were transferred from A to B.",NA,Medium,Single correct,\(\frac{36}{133}\),\(\frac{18}{133}\),\(\frac{9}{133}\),\(\frac{27}{133}\),2
108,21001,"In a factory which manufactures bolts, machines A,
 B, and C manufacture respectively 30\%, 50\%, and
 20\% of the bolts. Of their outputs, 3\%, 4\%, and 
1\% respectively are defective bolts. A bolt is drawn
 at random from the product and is found to be 
defective. Find the probability that this is not 
manufactured by machine B.
",NA,Medium,Single correct,\(\frac{110}{310}\),\(\frac{100}{310}\),\(\frac{11}{31}\),\(\frac{200}{310}\),3
109,21001,"In answering a question on a multiple-choice test, a student either knows the 
answer or guesses. Let \(35\%\) be the probability that he knows the answer and
 \(25\%\) be the probability that he guesses. Assuming that a student who 
guesses at the answer will be correct with probability \(13\%\), what is the
 probability that the student knows the answer given that he answered it 
correctly?",NA,Medium,Single correct,\(\frac{16}{25}\),\(\frac{9}{25}\),\(\frac{4}{25}\),\(\frac{5}{25}\),2
110,21001,"A bag contains 4 red and 4 black balls, another bag contains 2 red and 6 black balls. One of the two bags is selected at random and two balls are drawn at random without replacement from the bag and are found to be both red. Find the probability that the balls are drawn from the first bag.",NA,Medium,Single correct,50,60,67,75,3
111,21001,"An urn contains 4 white and 6 red balls. Four balls are drawn at random (without replacement) from the urn. Find the probability distribution of the number of white balls.
",NA,Medium,Single correct,"\(\frac{1}{14}, \frac{8}{21}, \frac{3}{7}, \frac{4}{35}, \frac{1}{210}\)","\(\frac{1}{14}, \frac{7}{21}, \frac{3}{7}, \frac{4}{35}, \frac{1}{210}\)","\(\frac{2}{14}, \frac{8}{21}, \frac{2}{7}, \frac{5}{35}, \frac{1}{210}\)","\(\frac{1}{14}, \frac{8}{21}, \frac{4}{7}, \frac{4}{35}, \frac{2}{210}\)",1
112,21001,"There are three coins. One is a two headed coin (having head on both faces), another is a biased coin that comes up heads 75\% of the times and third is also a biased coin that comes up tails 40\% of the times. One of the three coins is chosen at random and tossed and it shows head. What is the probability that it was the two headed coin?
",NA,Hard,Single correct,2037,2047,2057,2067,2
113,21001,"In a game, a man wins rupees five for rolling a six and loses rupee one for rolling any other number, when a fair die is thrown. The man decides to throw a die thrice but quits as soon as he gets a six. Find the expected value of the amount he wins or loses.",NA,Medium,Single correct,5,0,-1,-4,2
114,21001,"An insurance company insured 2000 scooter drivers, 4000 car drivers, and 6000 truck drivers. The probabilities of an accident for them are 0.01, 0.03, and 0.15 respectively. One of the insured persons meets with an accident. What is the probability that he is a scooter driver or a car driver?",NA,Medium,Single correct,\(\frac{7}{52}\),\(\frac{13}{52}\),\(\frac{3}{52}\),\(\frac{5}{52}\),1
115,21001,"A card from a pack of 52 playing cards is lost. From the remaining cards of the pack, three cards are drawn at random (without replacement) and are found to be all spades. Find the probability of the lost card being a spade.",NA,Medium,Single correct,\(\frac{15}{49}\),\(\frac{5}{49}\),\(\frac{20}{49}\),\(\frac{10}{49},4
116,21001,"Assume that the chances of a patient having a heart attack is 40\%. Assuming that a meditation and yoga course reduces the risk of heart attack by 30\% and prescription of a certain drug reduces its chance by 25\%. At a time, a patient can choose any one of the two options with equal probabilities. It is given that after going through one of the two options, the patient selected at random suffers a heart attack. Find the probability that the patient followed a course of meditation and yoga. Interpret the result and state which of the above-stated methods is more beneficial for the patient?
",NA,Medium,Single correct,\(\frac{14}{29}\),\(\frac{15}{29}\),\(\frac{13}{29}\),\(\frac{12}{29}\),1
117,21001,"An insurance company insured 2000 scooter drivers, 4000 car drivers, and 6000 truck drivers. The probabilities of them meeting an accident are 0.01, 0.03, and 0.15 respectively. One of the insured persons meets with an accident. What is the probability that he is a car driver?
",NA,Medium,Single correct,216,416,326,516,3
118,21001,"Bag I contains 3 red and 4 black balls, and bag II contains 4 red and 5 black balls. Two balls are transferred at random from bag I to bag II, and then a ball is drawn from bag II. The ball drawn is found to be red in color. Find the probability that the transferred balls were both black.
",NA,Hard,Single correct,217,517,417,317,3
119,21001,"Among the students in a college, it is known that 60\% reside in the hostel and 40\% are day scholars (not residing in the hostel). Previous year results report that 30\% of all students who reside in the hostel attain an A grade, and 20\% of day scholars attain an A grade in their annual exams. At the end of the year, one student is chosen at random from the college and they have an A grade. What is the probability that the student is a hosteler?",NA,Medium,Single correct,\(\frac{9}{13}\),\(\frac{4}{13}\),"\(\frac{10}{13}\)
",\(\frac{7}{13}\),1
120,21001,"Suppose a girl throws a die. If she gets 5 or 6, then she tosses a coin 3 times and notes the number of heads. If she gets 1, 2, 3, or 4, she tosses a coin once and notes whether a head or tail is obtained. If she obtained exactly one head, then what is the probability that she threw 1, 2, 3, or 4 with the die?
",NA,Medium,Single correct," \(\frac{5}{11}\)
"," \(\frac{7}{11}\)
",\(\frac{3}{11}\),\(\frac{8}{11}\),4
121,21001,"A girl throws a die. If she gets a 5 or 6, she tosses a coin three times and notes the number of heads. If she gets 1, 2, 3, or 4, she tosses a coin two times and notes the number of heads obtained. If she obtained exactly two heads, what is the probability that she threw 1, 2, 3, or 4 with the die?",NA,Hard,Single correct,47,37,57,67,1
122,21001,"Suppose 5\% of men and 0.25\% of women have grey hair. A grey-haired person is selected at random. What is the probability of this person being male? Assume that there are equal numbers of males and females.
",NA,Medium,Single correct,\(\frac{1}{21}\),"\(\frac{5}{21}\)
",\(\frac{16}{21}\), \(\frac{20}{21}\),4
123,21001,"Bag I contains 3 red and 4 black balls, and bag II contains 5 red and 6 black balls. One ball is drawn at random from one of the bags and is found to be red. Find the probability that it was drawn from bag II.",NA,Medium,Single correct,3568,2568,4568,5568,1
124,21001,"A man is known to speak the truth 3 out of 4 times. He throws a die and reports that it is a six. Find the probability that it is actually a six.
",NA,Medium,Single correct,48,58,28,38,4
125,21001,"A factory has two machines, A and B. Past records show that machine A produced 60\% of the items of output and machine B produced 40\% of the items. Further, 2\% of items produced by machine A and 1\% produced by machine B were defective. All the items are put into a stockpile, and then one item is chosen at random from this and found to be defective. What is the probability that it was produced by machine B?",NA,Medium,Single correct,24,14,34,44,2
126,21001,"There are three identical boxes I, II, and III, each containing two coins. In box I, both coins are gold coins; in box II, both are silver coins; and in box III, there is one gold and one silver coin. A person chooses a box at random and takes out a coin. If the coin is gold, then what is the probability that the other coin in the box is also gold?
",NA,Medium,Single correct,\(\frac{1}{2}\),\(\frac{2}{3}\),\(\frac{1}{3}\),\(\frac{3}{4}\),2
127,21001,"There are three coins. One is a two-tailed coin (having tails on both faces), another is a biased coin that comes up heads 60% of the time, and the third is an unbiased coin. One of the three coins is chosen at random and tossed, and it shows tails. What is the probability that it is a two-tailed coin?
",NA,Medium,Single correct,1019,1119,919,819,1
128,21001,"In a class, 5\% of boys and 10\% of girls have an IQ of more than 150. In the class, 60\% are boys and the rest are girls. If a student is selected at random and found to have an IQ of more than 150, then find the probability that the student is a boy.",NA,Medium,Single correct,\(\frac{5}{7}\),\(\frac{4}{7}\),\(\frac{3}{7}\),\(\frac{2}{7}\),3
129,21001,"In a bolt factory, machines A, B, and C manufacture 25\%, 35\%, and 40\% of the total production, respectively. Out of their total output, 5\%, 4\%, and 2\% are defective bolts. A bolt is drawn at random and found to be defective. What is the probability that it is manufactured by machine B?
",NA,Medium,Single correct,2869,3968,1869,2869,1
130,21001,"A card from a pack of 52 cards is lost. From the remaining cards of the pack, two cards are drawn at random and are found to both be clubs. Find the probability of the lost card being a club.",NA,Medium,Single correct,1150,1250,1350,1450,1
131,21001,"From a lot of 10 bulbs, which includes 3 defectives, a sample of 2 bulbs is drawn at random. Find the probability distribution of the number of defective bulbs?",NA,Medium,Single correct,"\(\frac{7}{15}, \frac{7}{15}, \frac{1}{15}\)","\(\frac{5}{15}, \frac{7}{15}, \frac{3}{15}\)","\(\frac{7}{15}, \frac{5}{15}, \frac{3}{15}\)","\(\frac{7}{15}, \frac{7}{15}, \frac{7}{15}\)",4
132,21001,Two cards are drawn simultaneously (without replacement) from a well-shuffled deck of 52 cards. Find the mean and variance of the number of red cards.,NA,Medium,Single correct,"\[
2, \frac{24}{51}
\]","\[
2, \frac{25}{51}
\]","\[
1, \frac{25}{51} \]","\[
1, \frac{24}{51}
\]",3
133,21001,Find the mean number of heads in three tosses of a coin.,NA,Easy,Single correct,\(\frac{3}{2}\),\(\frac{1}{3}\),\(\frac{1}{2}\),\(\frac{2}{3}\),1
134,21001,"A random variable X has following probability distributions:
Find  \( k \)

",https://drive.google.com/file/d/1raYe4cJo0xh9TO3PjyQWHGU1hQKpDgzX/view?usp=drive_link,Medium,Single correct,110,120,100,90,1
135,21001,"A random variable X has following probability distributions:
Find \( P(X < 3) \)



",https://drive.google.com/file/d/1raYe4cJo0xh9TO3PjyQWHGU1hQKpDgzX/view?usp=drive_link,Medium,Single correct,300,330,320,310,4
136,21001,"A random variable X has following probability distributions:
Find \( P(X > 6) \)",https://drive.google.com/file/d/1raYe4cJo0xh9TO3PjyQWHGU1hQKpDgzX/view?usp=drive_link,Medium,Single correct,\( \frac{18}{100} \),\( \frac{17}{100} \),\( \frac{20}{100} \),\( \frac{15}{100} \),2
137,21001,"A random variable X has following probability distributions:
Find \( P(0 < X < 3) \)",https://drive.google.com/file/d/1raYe4cJo0xh9TO3PjyQWHGU1hQKpDgzX/view?usp=drive_link,Medium,Single correct,\( \frac{5}{10} \),\( \frac{4}{10} \),\( \frac{2}{10} \),\( \frac{3}{10} \),4
138,21001,Find the probability distribution of the number of doublets in three tosses of a pair of dice.,NA,Medium,Single correct,"\(\frac{120}{216}, \frac{80}{216}, \frac{10}{216}, \frac{6}{216}\)","\(\frac{125}{216}, \frac{75}{216}, \frac{15}{216}, \frac{1}{216}\) ","\(\frac{130}{216}, \frac{65}{216}, \frac{15}{216}, \frac{6}{216}\)","\(\frac{110}{216}, \frac{85}{216}, \frac{20}{216}, \frac{1}{216}\)
",2
139,21001,"Two cards are drawn successively with replacement from a well-shuffled deck of 52 cards. Find the probability distribution of the number of aces.
",NA,Medium,Single correct,"\(\frac{140}{169}, \frac{28}{169}, \frac{1}{169}\)","\(\frac{130}{169}, \frac{38}{169}, \frac{1}{169}\)","\(\frac{144}{169}, \frac{24}{169}, \frac{1}{169}\)","\(\frac{150}{169}, \frac{18}{169}, \frac{1}{169}\)",3
140,21001,"Two cards are drawn simultaneously (without replacement) from a well-shuffled pack of 52 cards. Also, find the mean of the distribution.",NA,Medium,Single correct,\( \frac{34}{221} \),\( \frac{35}{221} \),"\( \frac{33}{221} \)
",\( \frac{36}{221} \),1
141,21001,"There are two bags, bag I and bag II. Bag I contains 4 white and 3 red balls while bag II contains 3 white and 7 red balls. One ball is drawn at random from one of the bags and it is found to be white. Find the probability that it was drawn from bag I.",NA,Medium,Single correct,\( \frac{50}{61} \),\( \frac{30}{61} \),\( \frac{40}{61} \),\( \frac{35}{61} \),3
142,21001,"There are three coins. One is a two-headed coin, another is a biased coin that comes up heads 75% of the time, and the third is an unbiased coin. One of the three coins is chosen at random and tossed. If it shows heads, what is the probability that it is the two-headed coin?",NA,Medium,Single correct,\( \frac{4}{9} \),\( \frac{3}{9} \),\( \frac{5}{9} \),\( \frac{2}{9} \),1
143,21001,"A bag contains 5 red and 4 black balls, a second bag contains 3 red and 6 black balls. One of the two bags is selected at random and two balls are drawn at random (without replacement), both of which are found to be red. Find the probability that the balls are drawn from the second bag.",NA,Medium,Single correct,\( \frac{5}{13} \),\( \frac{3}{13} \),\( \frac{4}{13} \),\( \frac{4}{13} \),2
