question_number,faculty_id,question_text,image_link_if_any_in_question,difficulty_tag,question_type,option_1,option_2,option_3,option_4,correct_answer
141,21028,Consider the augmented matrix of a system of linear equations after Gaussian Elimination :,https://drive.google.com/file/d/11_qOWICQb8gVOVUCfazcVZVLTKemyqjo/view?usp=drive_link,Easy,Single correct,The system has a unique solution.,The system is inconsistent.,The system has infimiitely many solutions.,The rank of the coefficien matrix is 3.,1
142,21028,"Given a system of linear eqns with the augmented matrix: zero, which of the following statements are True?",https://drive.google.com/file/d/1JCzDR5-C5UU5Yk9jiH7jOYP5B6OZJRBK/view?usp=drive_link,Easy,Single correct,The system has a unique solution.,The system is inconsistent.,The system has infinitely many solutions.,The rank of the coefficient matrix is 2.,3
143,21028,"Consider the system of linear equations:
\[
\begin{cases}
x + 2y - z = 3 \\
2x - y + z = 1 \\
3x + y - 2z = 0
\end{cases}
\]. 
After applying Gaussian Elimination, which of thefollowing statements are true?",NA,Easy,Single correct,The system has a unique solution.,The system is inconsistent.,The system has infinitely many solutions.,The determinant of the coefficient matrix is 0,1
144,21028,"Consider a square matrix A with eigenvalues 0, 2, and 3. Which of the following statements aretrue about the nullity of A?",NA,Easy,Multi correct,The nullity of A is 1.,The nullity of A is at least 1.,The nullity of A is the same as the number of zero eigenvalues.,The nullity ofA is always equal to the rank of A.  ,"2,3"
145,21028,Consider a matrix A with nullity k. Which of the following statements are true?,NA,Easy,Multi correct,The rank of A is k., The dimension of the column space of A is k.,The sum of the rank and nullity of A is equal to the number of columns in A.,The matrix A is invertible.,"2,3"
146,21028,"Given a square matrix B, if the nullity of B isWhich of the following statements are true ?",NA,Easy,Single correct,The matrix B is invertible.,The matrix B is a diagonal matrix,The rank of Bisequal to the number of column,The determinant of B is zero.,1
147,21028,"Consider a matrix C with nullity m. If C is a p x qmatrix, which of the followingstatements are true?",NA,Easy,Single correct,p + m = q,The rank of C is q- m.,The nullity of CT is p- m.,The matrix C has full column rank,1
148,21028,"For a non-square matrix D with nullity n, which of the following statements are true?",NA,Easy,Single correct,The matrix D is invertible.,The rank ofDisequal to the number of columns.,The dimension of the column space of D is n.,The determinant of DT is zero.,"2,3"
149,21028,Let E be a 3 x 4 matrix with nullity 2. Which of the following statements are true?,NA,Easy,Multi correct,The rank of E is 2.,The matrix E has full row rank,The nullity of ET is1.,The matrix E is singular,"1,3,4"
150,21028,Consider a matrix A with nullity k. Which of the following statements are true?,NA,Easy,Multi correct,The rank of A is k.,The dimension of the column space of A is k.,The sum of the ran and nullity of A is equal to the number of columns in A.,The rank of A is k.,"2,3"
151,21038,"Consider a matrix \( C \) with nullity \( m \). If \( C \) is a \( p \times q \) matrix, which of the following statements are true?",NA,Medium,Multi correct,\( p + m = q \),The rank of \( C \) is \( q - m \),The nullity of \( C \) is \( p - m \),The matrix \( C \) has full column rank,"1,3"
152,21038,For a non-square matrix \( D \)  with nullity n. which of the following  statements are true?,NA,Medium,Multi correct,The matrix \( D \) is invertible.,The rank of \( D \) is equal to the number of columns,The dimension of the column space of \( D \) is \( n \).,The determinant of \( D \) is zero,"2,3"
153,21038,Let \( E \) be a \( 3 \times 4 \) matrix with nullity 2. Which of the following statements are true?,NA,Easy,Multi correct,The rank of \( E \) is 2,The matrix \( E \) has full row rank,The nullity of \( E^T E \) is 1,The matrix \( E \) is singular,"1,3,4"
154,21038,Consider a matrix \( A \) of order \( 3 \times 4 \) with nullity 2. Which of the following statements are true about the null space of \( A \) and the corresponding row space?,NA,Medium,Multi correct,The null space is a subspace of \(\mathbb{R}^4\),The dimension of the row space is 2,The null space contains only the zero vector,The dimension of the row space is 3,"1,3"
155,21038,Let \( B \) be a square matrix of order \( n \) with nullity 0. Which of the following statements are true about the null space and the invertibility of \( B \)?,NA,Easy,Multi correct,The null space of \( B \) is trivial (contains only the zero vector),The matrix \( B \) is invertible,The dimension of the null space is \( n \),The rank of \( B \) is \( n \),"1,2,4"
156,21038,Consider a matrix \( C \) with null space \( N(C) \) and a vector \( v \) in \( \mathbb{R}^n \) such that \( Cv = 0 \). Which of the following statements are true?,NA,Medium,Multi correct,\( v \) is in the null space of \( C \),The null space of \( C \) is a subspace of \( \mathbb{R}^n \),"If \( C \) is a square matrix, the null space is always non-trivial","If \( v \) is in the null space of \( C \), \( C \) must be the zero matrix","1,2,3"
157,21038,"Given a matrix \( D \) with nullity \( k \), which of the following statements are true about the dimension of the null space and the rank of \( D \) respectively?",NA,Medium,Multi correct,The dimension of the null space is \( k \),The rank of \( D \) is \( k \),"If \( D \) is a square matrix, the dimension of the null space is always less than or equal to the order of \( D \)",The null space of \( D \) is orthogonal to the row space of \( D \),"1,3"
158,21038,Consider a linear transformation represented by a matrix \( E \). Which of the following statements are true for some vector \( v \in \mathbb{R}^n \)?,NA,Medium,Multi correct,\( v \) is in the null space of \( E \),"If \( E \) is invertible, then \( v = 0 \)",The null space of \( E \) is always trivial,"If \( v \) is in the null space of \( E \), then \( E \) must be the zero matrix","1,2,3"
159,21038,Consider a vector \( \mathbf{v} = \begin{pmatrix} 1 \\ 2 \end{pmatrix} \) in \( \mathbb{R}^2 \). Let \( \mathbf{u} = \begin{pmatrix} 1 \\ 0 \end{pmatrix} \) be a unit vector in the same space. Which of the following statements are true about the projection of \( \mathbf{v} \) onto \( \mathbf{u} \)?,NA,Medium,Multi correct,The projection of \( \mathbf{v} \) onto \( \mathbf{u} \) is parallel to \( \mathbf{u} \),The projection of \( \mathbf{v} \) onto \( \mathbf{u} \) is orthogonal to \( \mathbf{v} - \mathrm{proj}_{\mathbf{u}}(\mathbf{v}) \),The magnitude of the projection of \( \mathbf{v} \) onto \( \mathbf{u} \) is equal to the magnitude of \( \mathbf{v} \),"If \( \mathbf{v} \) is already in the direction of \( \mathbf{u} \), then the projection is the same as \( \mathbf{v} \)","1,2,4"
160,21038,Let \( P \) be the projection matrix onto a subspace \( W \) in \( \mathbb{R}^3 \). Which of the following statements are true about the matrix \( P \) and its properties?,NA,Easy,Multi correct,The matrix \( P \) is symmetric,The null space of \( P \) is the orthogonal complement of \( W \),The rank of \( P \) is the dimension of \( W \),The square of \( P \) is equal to \( P \),"1,2,3"
161,21038,Consider a subspace \( U \) in \( \mathbb{R}^4 \) and a vector \( \mathbf{v} = \begin{pmatrix} 1 \\ 2 \\ -1 \\ 0 \end{pmatrix} \). Let \( P \) be the projection matrix onto \( U \). Which of the following statements are true about \( P \) and \( \mathbf{v} \)?,NA,Medium,Multi correct,The vector \( P\mathbf{v} \) is in \( U \),The vector \( \mathbf{v} - P\mathbf{v} \) is orthogonal to \( U \),"If \( \mathbf{v} \) is already in \( U \), then \( P\mathbf{v} = \mathbf{v} \)",The matrix \( P \) is singular,"1,2,3"
162,21038,Let \( W \) be a subspace of \( \mathbb{R}^3 \) spanned by \( \mathbf{u} = \begin{pmatrix} 1 \\ 0 \\ 1 \end{pmatrix} \). Consider a vector \( \mathbf{v} = \begin{pmatrix} 2 \\ 3 \\ 1 \end{pmatrix} \). Which of the following statements are true about the projection of \( \mathbf{v} \) onto \( W \)?,NA,Medium,Multi correct,The projection lies on the line spanned by \( \mathbf{u} \),The projection is orthogonal to the subspace \( W \),The projection is the closest point to \( \mathbf{v} \) in \( W \),The magnitude of the projection is equal to the magnitude of \( \mathbf{v} \),"1,2,3"
163,21038,Consider a matrix \( A \) in \( \mathbb{R}^{2 \times 3} \) and let \( P \) be the projection matrix onto the column space of \( A \). Which of the following statements are true about \( P \) and its properties?,NA,Medium,Multi correct,The null space of \( P \) is the left null space of \( A \),The rank of \( P \) is equal to the rank of \( A \),The range of \( P \) is the column space of \( A \),"If \( A \) is a square matrix, then \( P \) is an identity matrix","1,2,3"
164,21038,"Consider a quadratic form \( Q(\mathbf{x}) = \mathbf{x}^\top A \mathbf{x} \), where \( A \) is a symmetric matrix. Which of the following statements are true?",NA,Medium,Multi correct,"If \( A \) is positive definite, then \( Q(\mathbf{x}) > 0 \) for all \( \mathbf{x} \neq \mathbf{0} \)","If \( A \) is positive semidefinite, then \( Q(\mathbf{x}) \geq 0 \) for all \( \mathbf{x} \)","If \( A \) is negative definite, then \( Q(\mathbf{x}) < 0 \) for all \( \mathbf{x} \neq \mathbf{0} \)","If \( A \) is negative semidefinite, then \( Q(\mathbf{x}) \leq 0 \) for all \( \mathbf{x} \)","1,2,3,4"
165,21038,"Let \( Q(\mathbf{x}) = \mathbf{x}^\top A \mathbf{x} \) be a quadratic form, where \( A \) is a symmetric matrix. Which of the following statements are true about the eigenvalues of \( A \) and the definiteness of \( Q(\mathbf{x}) \)?",NA,Hard,Multi correct,"If all eigenvalues of \( A \) are positive, then \( Q(\mathbf{x}) > 0 \) for all \( \mathbf{x} \neq \mathbf{0} \)","If all eigenvalues of \( A \) are non-negative, then \( Q(\mathbf{x}) \geq 0 \) for all \( \mathbf{x} \)","If all eigenvalues of \( A \) are negative, then \( Q(\mathbf{x}) < 0 \) for all \( \mathbf{x} \neq \mathbf{0} \)","If all eigenvalues of \( A \) are non-positive, then \( Q(\mathbf{x}) \leq 0 \) for all \( \mathbf{x} \)","1,2,3,4"
166,21038,"Consider a symmetric matrix \( A \) and its eigenvectors \( \mathbf{v}_1, \mathbf{v}_2, \ldots, \mathbf{v}_n \) corresponding to distinct eigenvalues. Let \( Q(\mathbf{x}) = \mathbf{x}^\top A \mathbf{x} \). Which of the following statements are true?",NA,Hard,Multi correct,"If \( \mathbf{x} \) is an eigenvector of \( A \), then \( Q(\mathbf{x}) \) is equal to the corresponding eigenvalue","If \( A \) is positive definite, then all eigenvalues of \( A \) are positive","If \( A \) is positive definite, then all eigenvalues of \( A \) are distinct","If \( Q(\mathbf{x}) \) is equal to an eigenvalue, then \( \mathbf{x} \) is an eigenvector of \( A \)","1,4"
167,21038,Let \( A \) be a symmetric matrix and \( Q(\mathbf{x}) = \mathbf{x}^\top A \mathbf{x} \) be a quadratic form. Which of the following statements are true regarding the definiteness of \( A \) and the behavior of \( Q(\mathbf{x}) \)?,NA,Hard,Multi correct,"If \( A \) is positive definite, then \( Q(\mathbf{x}) \) attains its minimum value at \( \mathbf{x} = \mathbf{0} \)","If \( A \) is positive semidefinite, then \( Q(\mathbf{x}) \) is constant for all \( \mathbf{x} \)","If \( A \) is negative definite, then \( Q(\mathbf{x}) \) attains its maximum value at \( \mathbf{x} = \mathbf{0} \)","If \( A \) is negative semidefinite, then \( Q(\mathbf{x}) \) is constant for all \( \mathbf{x} \)","1,2,3,4"
168,21038,"Consider a symmetric matrix \( A \) with eigenvalues. Let \( Q(\mathbf{x}) = \mathbf{x}^\top A \mathbf{x} \). Which of the following statements are true? (a) If all \( \lambda_i > 0 \), then \( A \) is positive definite. (b) If all \( \lambda_i \geq 0 \), then \( A \) is positive semidefinite.",NA,Medium,Multi correct,"If all \( \lambda_i > 0 \), then \( A \) is positive definite","If all \( \lambda_i \geq 0 \), then \( A \) is positive semidefinite","If all \( \lambda_i < 0 \), then \( A \) is negative definite","If all \( \lambda_i \leq 0 \), then \( A \) is negative semidefinite","1,2,3,4"
169,21038,"Consider the partitioned matrix given below, where \( B_{11} \), \( B_{12} \), \( B_{21} \), and \( B_{22} \) are submatrices.,Which of the following statements are true?",https://drive.google.com/file/d/1-MyyIp_OKWLNzQFVyQ3HoXMKmjboL7aE/view?usp=drive_link,Medium,Multi correct,The sum \( B_{11} + B_{22} \) is well-defined,The product \( B_{11} \cdot B_{22} \) is well-defined,The determinant of the matrix is equal to the product of the determinants of \( B_{11} \) and \( B_{22} \),"If \( A_{12} \) is the zero matrix, then \( A \) is a square matrix","1,2,3"
170,21038,"Consider the matrix provided below,where each block is invertible, which of the following statements are true?",https://drive.google.com/file/d/15JPG7eciO088bbiPva1CF7evVTkZEI0B/view?usp=drive_link,Medium,Multi correct,https://drive.google.com/file/d/1_wGYZIEKkKc_5GrYdNllKEU704AQwPcr/view?usp=drive_link,"If \( B_{11} = I \) (identity matrix), then \( B \) is a block upper triangular matrix.",The determinant of \( B \) is equal to the product of the determinants of \( B_{11} \) and \( B_{22} \),"If \( B_{12} = 0 \) (zero matrix), then \( B \) is block diagonal","1,2,3"
171,21038,Let \( B \) be a partitioned matrix where each block is of size \( m \times m \). Which of the following statements are true?,,Medium,Multi correct,"If \( B_{11} = I \), then \( B \) is invertible.",The product \( B_{12} B_{21}^{-1} B_{21} \) is well-defined.,"If \( B \) is invertible, then \( B_{22} \) is also invertible",The rank of \( B \) is equal to the sum of the ranks of \( B_{11} \) and \( B_{22} \),"1,2,3"
172,21038,Consider a matrix \( B \) partitioned into blocks where \( B_{11} \) is a square matrix. Which of the following statements are true?,NA,Medium,Multi correct,"If \( B_{11} \) is invertible, then \( B \) is invertible.",The determinant of \( B \) is equal to the product of the determinants of \( B_{11} \) and \( B_{22} - B_{21}B_{12} \).,"If \( B \) is singular, then \( B_{22} - B_{21}B_{12} \) is singular.","If \( B_{12} = 0 \), then the determinant of \( B \) is equal to the determinant of \( B_{11} B_{22} \).","1,2,3"
173,21038,Let \( B \) be a matrix partitioned as \( B \) where each block is a square matrix. Which of the following statements are true?,,Medium,Multi correct,"If \( B_{12} = B_{21} \), then \( B \) is symmetric.","If \( B \) is symmetric, then \( B_{12} = B_{21} \).",The eigenvalues of \( B \) are the union of the eigenvalues of \( B_{11} \) and \( B_{22} \).,"If \( B \) is diagonal, then \( B_{12} = B_{21} = 0 \).","1,2,3"
174,21038,Consider a matrix \( P \) that projects vectors onto a subspace \( W \). Which of the following statements are true about the properties of the projection matrix \( P \)?,NA,Medium,Multi correct,\( P^2 = P \),The null space of \( P \) is the orthogonal complement of \( W \).,The rank of \( P \) is equal to the dimension of \( W \).,"If \( P \) is applied twice to any vector, the result is the same as applying \( P \) once","1,2,3,4"
175,21038,"Let \( A \) be a matrix in \( \mathbb{R}^{3 \times 4} \) with full column rank, and let \( P \) be the projection matrix onto the column space of \( A \). Which of the following statements are true? ",NA,Medium,Multi correct,The null space of \( P \) is the set of all zero vectors.,The rank of \( P \) is equal to the rank of \( A \),The column space of \( P \) is the same as the column space of \( A \),"If \( P \) is applied to any vector, the result lies in the column space of \( A \)","2,3,4"
176,21038,"Consider a vector \( \mathbf{v} \) and its projection onto subspace \( W \), given by \( \text{proj}_W(\mathbf{v}) \). Which of the following statements are true about the projection vector \( \text{proj}_W(\mathbf{v}) \) and its relationship with \( \mathbf{v} \)?",NA,Medium,Multi correct,The projection vector is orthogonal to \( \mathbf{v} - \text{proj}_W(\mathbf{v}) \).,The magnitude of \( \text{proj}_W(\mathbf{v}) \) is less than or equal to the magnitude of \( \mathbf{v} \),"If \( \mathbf{v} \) is already in \( W \), then \( \text{proj}_W(\mathbf{v}) = \mathbf{v} \)",The projection vector \( \text{proj}_W(\mathbf{v}) \) is in the subspace \( W \),"1,2,3,4"
177,21168,"Let $Q$ be an orthogonal matrix, and $P = QQ^T$. Which of the following statements are true about the projection matrix $P$ defined in this way?",NA,Easy,Multi correct,$P$ is symmetric.,The eigenvalues of $P$ are all equal to 1.,The rank of $P$ is equal to the rank of $Q$.,"If $P$ is applied to any vector, the result is the same as applying $Q$ once.","1,2,3,4"
178,21168,"Consider a subspace $U$ spanned by the vectors $u_1, u_2, u_3$, and let $P$ be the projection matrix onto $U$. Which of the following statements are true about the properties of $P$ and its relationship with the subspace $U$?", NA,Easy,Multi correct,The matrix $P$ is idempotent ($P^2 = P$).,The eigenvalues of $P$ are all equal to 1.,The null space of $P$ is the orthogonal complement of $U$.,"If $P$ is applied to any vector in $U$, the result is the same as the original vector.","1,2,3,4"
179,21168,Consider an orthogonal matrix $Q$ of order $n \times n$. Which of the following statements are true about the properties of $Q$?,NA,Easy,Multi correct,The inverse of $Q$ is equal to its transpose ($Q^{-1} = Q^T$).,The determinant of $Q$ is either $1$ or $-1$.,The columns of $Q$ form an orthonormal set.,"If $Q$ is applied to any vector, the magnitude of the vector is preserved.","1,2,3,4"
180,21168,"Let $A$ be a matrix in $\mathbb{R}^{n \times n}$, and $Q$ be an orthogonal matrix. Which of the following statements are true about the product $QA$?",NA,Easy,Multi correct,The product $QA$ is also an orthogonal matrix.,The determinant of $QA$ is equal to the determinant of $A$.,The columns of $QA$ form an orthonormal set.,"If $A$ is symmetric, then $QA$ is also symmetric.","1,2,3"
181,21168,Consider a matrix $R$ that represents a rotation. Which of the following statements are true about the properties of the rotation matrix $R$?,NA,Easy,Multi correct,The inverse of $R$ is equal to its transpose ($R^{-1} = R^T$).,The determinant of $R$ is equal to 1.,The eigenvalues of $R$ are complex conjugates of each other.,"If $R$ is applied to any vector, the magnitude of the vector is preserved.","1,2,4"
182,21168,Let $V$ be a subspace of $\mathbb{R}^n$ and $Q$ be the orthogonal matrix that projects vectors onto $V$. Which of the following statements are true about the properties of $Q$ and its relationship with the subspace $V$?,NA,Easy,Multi correct,The matrix $Q$ is idempotent ($Q^2 = Q$).,The columns of $Q$ form a basis for $V$.,The null space of $Q$ is the orthogonal complement of $V$.,"If $Q$ is applied to any vector in $V$, the result is the same as the original vector.","1,2,3,4"
183,21168,Consider two orthogonal matrices $P$ and $Q$ of the same order $n \times n$. Which of the following statements are true about the properties of the product $PQ$?,NA,Easy,Multi correct,The product $PQ$ is also an orthogonal matrix.,The determinant of $PQ$ is equal to the product of the determinants of $P$ and $Q$.,The inverse of $PQ$ is equal to the product of the inverses of $P$ and $Q$.,"If $P$ and $Q$ are both reflections, then $PQ$ is a rotation.","1,2,3"
184,21168,"Consider vectors $v_1, v_2, v_3$ in $\mathbb{R}^3$. Which of the following statements are true regarding the linear dependence of these vectors?
",NA,Easy,Multi correct,"If $v_1, v_2, v_3$ are linearly dependent, then at least one of them can be expressed as a linear combination of the others.","If $v_1, v_2, v_3$ are linearly independent, then the only solution to $c_1v_1 + c_2v_2 + c_3v_3 = 0$ is $c_1 = c_2 = c_3 = 0$.","If $v_1, v_2, v_3$ are linearly dependent, then the determinant of the matrix formed by these vectors is equal to zero.","If the vectors form a basis for $\mathbb{R}^3$, they must be linearly independent.
\end{enumerate}","1,2,3"
185,21168,"Consider vectors $u, v, w$ in $\mathbb{R}^2$. Which of the following statements are true regarding the linear dependence of these vectors?
",NA,Easy,Multi correct," If $u, v, w$ are linearly independent, then the only solution to $c_1u + c_2v + c_3w = 0$ is $c_1 = c_2 = c_3 = 0$.","If $u, v, w$ are linearly dependent, then the cross product $u \times v$ is the zero vector.","If $u, v, w$ are linearly dependent, then the vectors lie in the same plane in $\mathbb{R}^3$.","If the vectors form a basis for $\mathbb{R}^2$, they must be linearly independent.
\end{enumerate}","1,2,3"
186,21168,"Let $A$ be an $n \times n$ square matrix with column vectors $a_1, a_2, \ldots, a_n$. Which of the following statements are true regarding the linear dependence of these vectors?",NA,Easy,Multi correct,"If the determinant of $A$ is zero, then the vectors $a_1, a_2, \ldots, a_n$ are linearly dependent.","If the vectors are linearly dependent, then at least one of them can be expressed as a linear combination of the others.","If $a_1, a_2, \ldots, a_n$ are linearly independent, then the matrix $A$ is invertible.","If the vectors form a basis for $\mathbb{R}^n$, then the determinant of $A$ is non-zero.","1,2,3,4"
187,21168,"Consider the vectors $v_1 = \begin{pmatrix}1\\0\\0\end{pmatrix}$, $v_2 = \begin{pmatrix}0\\1\\0\end{pmatrix}$, and $v_3 = \begin{pmatrix}0\\0\\1\end{pmatrix}$. Which of the following statements are true about the linear dependence of these vectors?",NA,Easy,Multi correct,The vectors $v_1$ and $v_2$ are linearly independent.,"The vectors $v_1$, $v_2$, and $v_3$ are linearly dependent.","If $v_1$ and $v_2$ are linearly independent, then $v_3$ can be expressed as a linear combination of $v_1$ and $v_2$.","The vectors $v_1$, $v_2$, and $v_3$ span $\mathbb{R}^3$.","1,2,3"
188,21168,"Let $u = \begin{pmatrix}1\\2\\3\end{pmatrix}$, $v = \begin{pmatrix}4\\5\\6\end{pmatrix}$, and $w = \begin{pmatrix}7\\8\\9\end{pmatrix}$. Which of the following statements are true about the linear dependence of these vectors?",NA,Easy,Multi correct,"The vectors $u$, $v$, and $w$ are linearly independent.","If $u$, $v$, and $w$ are linearly dependent, then the determinant of the matrix formed by these vectors is zero.","The vectors $u$, $v$, and $w$ span $\mathbb{R}^3$.","If $u$ and $v$ are linearly independent, then $w$ can be expressed as a linear combination of $u$ and $v$.","1,2,4"
189,21168,Eigenvalues of the given matrix:,https://drive.google.com/file/d/1qykaBTIAptvC16fo28AouRHuFTxhyBE_/view?usp=sharing,Easy,Single correct,"1,1,1","1,1,2","1,4,4","1,2,4",3
190,21168,Eigenvalues of the system represented by $A = \begin{pmatrix}1 & 0 & 0 & 0 \\ 0 & 1 & 0 & 0 \\ 0 & 0 & 1 & 0 \\ 0 & 0 & 0 & 1\end{pmatrix}$ are,NA,Easy,Single correct," 0, 0, 0, 0","1, 1, 1, 1","0, 0, 0, -1","1, 0, 0, 0",4
191,21168,Matrix $A = \begin{pmatrix}1 & 2 \\ 3 & 4\end{pmatrix}$ is not,NA,Easy,Multi correct,orthogonal,non-singular,singular,such that $A^{-1}$ exists,"2,4"
192,21168,"In the matrix equation $Px = q$, which of the following is a necessary condition for the existence of at least one solution for the unknown vector $x$?",NA,Easy,Single correct,Augmented matrix $[P|q]$ must have the same rank as matrix $P$,Vector $q$ must have only non-zero elements,Matrix $P$ must be singular,Matrix $P$ must be square,1
193,21168,Eigenvalues of a real symmetric matrix corresponding to different eigenvalues are,NA,Easy,Single correct,orthogonal,non-singular,singular,none of these,1
194,21168,"An arbitrary vector $X$ is an eigenvector of the matrix $A = \begin{pmatrix}2 & 1 \\ 1 & 2\end{pmatrix}$, if $(a,b)$ is",NA,Easy,Single correct,"(0,0)","(1,1)","(0,1)","(1,2)",2
195,21168,"The system of equations $a_1x + a_2y = 0$ and $b_1x + b_2y = 0$ where $a_1, a_2, b_1, b_2$ are real numbers, has a non-trivial solution if",NA,Easy,Single correct,$a_1b_1 = a_2b_2$,$a_1b_2 = b_1a_2$,$a_1a_2 = b_1b_2$,none of these,2
196,21168,Solution of the given matrix equation $Ax = b$ is,https://drive.google.com/file/d/18YquSKFR7FrJG-U41eLdWeh8C59w18ne/view?usp=sharing,Easy,Single correct,"$x_1 = 0, x_2 = 0, x_3 = 0$","$x_1 = 1, x_2 = 1, x_3 = 0$","$x_1 = 0, x_2 = 1, x_3 = 1$","$x_1 = 2, x_2 = -5, x_3 = -1$",1
197,21168,"If the product of matrices $A$ and $B$ is a null matrix, then $A$ and $B$ differ by an",https://drive.google.com/file/d/17h7tC4KQaUkpQmRrFsLpwJluUKgMKzWw/view?usp=sharing,Easy,Single correct,odd multiple of $\pi$,even multiple of $\pi$,odd multiple of $\pi/2$,even multiple of $\pi/2$,3
198,21168,Inverse of the matrix,https://drive.google.com/file/d/1YZ6LXQq-PycHuw915c9uytuAr-suL-Il/view?usp=sharing,Easy,Single correct,https://drive.google.com/file/d/1bl50D4rBMvBtItp-DE7Eli4bRYuphba2/view?usp=sharing,https://drive.google.com/file/d/1ANNJrQDhFKndyw0mBXyWKHQuZ5NqPwfs/view?usp=sharing,https://drive.google.com/file/d/1jgGBdZbS8WPGU7EZMPlBg0zlWuBbo7-4/view?usp=sharing,https://drive.google.com/file/d/1bkMXhPxNSiBcBFZP_tqwbVHGtunHsIuu/view?usp=sharing,3
